Material,Category,Current_Symbol,Current_Formula,Research_Status,NIST_Verified,Source_URL,Expert_Verified,Notes,Recommended_Action
Alumina,ceramic,Al2O3,Al2O3,PENDING,,,,,
Porcelain,ceramic,Porcelain,Al2O3路2SiO2路2H2O,PENDING,,,,,
Silicon Nitride,ceramic,Si3N4,Si3N4,PENDING,,,,,
Stoneware,ceramic,MISSING,MISSING,PENDING,,,,,
Zirconia,ceramic,MISSING,ZrO2,PENDING,,,,,
Carbon Fiber Reinforced Polymer,composite,MISSING,MISSING,PENDING,,,,,
Epoxy Resin Composites,composite,MISSING,MISSING,PENDING,,,,,
Fiberglass,composite,MISSING,MISSING,PENDING,,,,,
Kevlar-Reinforced Polymer,composite,MISSING,MISSING,PENDING,,,,,
Phenolic Resin Composites,composite,MISSING,MISSING,PENDING,,,,,
Polyester Resin Composites,composite,MISSING,MISSING,PENDING,,,,,
Rubber,composite,MISSING,MISSING,PENDING,,,,,
Thermoplastic Elastomer,composite,MISSING,MISSING,PENDING,,,,,
Urethane Composites,composite,MISSING,MISSING,PENDING,,,,,
Glass Fiber Reinforced Polymers GFRP,composite,MISSING,MISSING,PENDING,,,,,
Fiber Reinforced Polyurethane FRPU,composite,MISSING,MISSING,PENDING,,,,,
Metal Matrix Composites MMCs,composite,MISSING,MISSING,PENDING,,,,,
Ceramic Matrix Composites CMCs,composite,MISSING,MISSING,PENDING,,,,,
Borosilicate Glass,glass,MISSING,B2O3-SiO2,PENDING,,,,,
Float Glass,glass,MISSING,MISSING,PENDING,,,,,
Fused Silica,glass,MISSING,SiO2,PENDING,,,,,
Lead Crystal,glass,MISSING,MISSING,PENDING,,,,,
Pyrex,glass,MISSING,MISSING,PENDING,,,,,
Quartz Glass,glass,MISSING,SiO2,PENDING,,,,,
Soda-Lime Glass,glass,MISSING,MISSING,PENDING,,,,,
Tempered Glass,glass,MISSING,MISSING,PENDING,,,,,
Brick,masonry,MISSING,MISSING,PENDING,,,,,
Cement,masonry,MISSING,MISSING,PENDING,,,,,
Concrete,masonry,MISSING,MISSING,PENDING,,,,,
Mortar,masonry,MISSING,MISSING,PENDING,,,,,
Plaster,masonry,MISSING,CaSO4路2H2O,PENDING,,,,,
Stucco,masonry,MISSING,MISSING,PENDING,,,,,
Terracotta,masonry,MISSING,MISSING,PENDING,,,,,
Aluminum,metal,Al,Al,PENDING,,,,,
Beryllium,metal,MISSING,MISSING,PENDING,,,,,
Brass,metal,MISSING,Cu-Zn,PENDING,,,,,
Bronze,metal,MISSING,Cu-Sn,PENDING,,,,,
Cobalt,metal,MISSING,MISSING,PENDING,,,,,
Copper,metal,Cu,Cu,PENDING,,,,,
Gallium,metal,MISSING,MISSING,PENDING,,,,,
Gold,metal,Au,Au,PENDING,,,,,
Hafnium,metal,MISSING,MISSING,PENDING,,,,,
Hastelloy,metal,MISSING,MISSING,PENDING,,,,,
Inconel,metal,MISSING,MISSING,PENDING,,,,,
Indium,metal,MISSING,MISSING,PENDING,,,,,
Iridium,metal,MISSING,Ir,PENDING,,,,,
Iron,metal,Fe,Fe,PENDING,,,,,
Lead,metal,Pb,Pb,PENDING,,,,,
Magnesium,metal,Mg,Mg,PENDING,,,,,
Molybdenum,metal,MISSING,MISSING,PENDING,,,,,
Nickel,metal,Ni,Ni,PENDING,,,,,
Niobium,metal,MISSING,MISSING,PENDING,,,,,
Palladium,metal,MISSING,Pd,PENDING,,,,,
Platinum,metal,MISSING,Pt,PENDING,,,,,
Rhenium,metal,MISSING,MISSING,PENDING,,,,,
Rhodium,metal,MISSING,MISSING,PENDING,,,,,
Ruthenium,metal,MISSING,MISSING,PENDING,,,,,
Silver,metal,Ag,Ag,PENDING,,,,,
Stainless Steel,metal,SS,Fe-Cr-Ni,PENDING,,,,,
Steel,metal,Fe,Fe-C,PENDING,,,,,
Tantalum,metal,MISSING,MISSING,PENDING,,,,,
Tin,metal,MISSING,Sn,PENDING,,,,,
Titanium,metal,Ti,Ti,PENDING,,,,,
Tungsten,metal,W,W,PENDING,,,,,
Vanadium,metal,MISSING,MISSING,PENDING,,,,,
Zinc,metal,Zn,Zn,PENDING,,,,,
Zirconium,metal,MISSING,MISSING,PENDING,,,,,
Gallium Arsenide,semiconductor,MISSING,GaAs,PENDING,,,,,
Silicon,semiconductor,MISSING,Si,PENDING,,,,,
Silicon Carbide,semiconductor,MISSING,SiC,PENDING,,,,,
Silicon Germanium,semiconductor,MISSING,MISSING,PENDING,,,,,
Alabaster,stone,MISSING,CaSO4路2H2O,PENDING,,,,,
Basalt,stone,MISSING,MISSING,PENDING,,,,,
Bluestone,stone,MISSING,MISSING,PENDING,,,,,
Breccia,stone,MISSING,MISSING,PENDING,,,,,
Calcite,stone,MISSING,CaCO3,PENDING,,,,,
Granite,stone,MISSING,SiO2-Al2O3-K2O,PENDING,,,,,
Limestone,stone,MISSING,CaCO3,PENDING,,,,,
Porphyry,stone,MISSING,MISSING,PENDING,,,,,
Marble,stone,MISSING,CaCO3,PENDING,,,,,
Onyx,stone,MISSING,MISSING,PENDING,,,,,
Quartzite,stone,MISSING,SiO2,PENDING,,,,,
Sandstone,stone,MISSING,MISSING,PENDING,,,,,
Schist,stone,MISSING,MISSING,PENDING,,,,,
Serpentine,stone,MISSING,MISSING,PENDING,,,,,
Shale,stone,MISSING,MISSING,PENDING,,,,,
Slate,stone,MISSING,MISSING,PENDING,,,,,
Soapstone,stone,MISSING,MISSING,PENDING,,,,,
Travertine,stone,MISSING,MISSING,PENDING,,,,,
Ash,wood,MISSING,MISSING,PENDING,,,,,
Bamboo,wood,MISSING,MISSING,PENDING,,,,,
Beech,wood,MISSING,MISSING,PENDING,,,,,
Birch,wood,MISSING,MISSING,PENDING,,,,,
Cedar,wood,MISSING,MISSING,PENDING,,,,,
Cherry,wood,MISSING,MISSING,PENDING,,,,,
Fir,wood,MISSING,MISSING,PENDING,,,,,
Hickory,wood,MISSING,MISSING,PENDING,,,,,
Mahogany,wood,MISSING,MISSING,PENDING,,,,,
Maple,wood,MISSING,MISSING,PENDING,,,,,
MDF,wood,MISSING,MISSING,PENDING,,,,,
Oak,wood,MISSING,MISSING,PENDING,,,,,
Pine,wood,MISSING,MISSING,PENDING,,,,,
Plywood,wood,MISSING,MISSING,PENDING,,,,,
Poplar,wood,MISSING,MISSING,PENDING,,,,,
Redwood,wood,MISSING,MISSING,PENDING,,,,,
Rosewood,wood,MISSING,MISSING,PENDING,,,,,
Teak,wood,MISSING,MISSING,PENDING,,,,,
Walnut,wood,MISSING,MISSING,PENDING,,,,,
Willow,wood,MISSING,MISSING,PENDING,,,,,
